category,product
personal-care,Dabur amla
personal-care,Bajaj almond drops
personal-care,Colgate
personal-care,Sensodyne
personal-care,lux
personal-care,Margo
personal-care,Pears
personal-care,Hair and Care
personal-care,life bouy hand wash
personal-care,Dettol Soap
cleaning-and-house-hold,Tide surf
cleaning-and-house-hold,Tide surf
cleaning-and-house-hold,Surf Excel surf
cleaning-and-house-hold,Ghadi Surf
cleaning-and-house-hold,Harpic
cleaning-and-house-hold,Wheel surf
cleaning-and-house-hold,cumfort
cleaning-and-house-hold,rin Surf
cleaning-and-house-hold,Colin
cleaning-and-house-hold,Odonil
cleaning-and-house-hold,Phenyle
cleaning-and-house-hold,Ujala
cleaning-and-house-hold,Fena
cleaning-and-house-hold,Surf Excel soap
cleaning-and-house-hold,gold mohar soap
cleaning-and-house-hold,Tide soap
health-and-medicine,vicks
health-and-medicine,Sugar free
health-and-medicine,Iodex
health-and-medicine,Horlicks
health-and-medicine,Dabur chywanpras
ready-to-eat-and-nuts,Kishmish
ready-to-eat-and-nuts,Gadi
ready-to-eat-and-nuts,Baadam
ready-to-eat-and-nuts,Maggie
ready-to-eat-and-nuts,Tomato red souce
snacks-and-breakfast,Kurkure
snacks-and-breakfast,Chocopie
snacks-and-breakfast,Dark Fantasy
snacks-and-breakfast,Snakkers
snacks-and-breakfast,kitkat
snacks-and-breakfast,Hide&seek
snacks-and-breakfast,lays
snacks-and-breakfast,Corn Flakes 
